ORGANIZATION,ORGANIZATION OTHER,TYPE_CLEANUP,TYPE_CLEANUP_OTHER,ADOPT-A-ROAD,TYPE_LITTER,TYPE_LITTER_OTHER 1,NUMBER_BAGS,NUMBER_BAGS_OTHER,TOTAL_BAGS_LITTER,COUNT_TIRES,COUNT_TIRES_OTHER,TOTAL_TIRES,MAJOR_WSHED,ALTBMP_TYPE,LBS_REMOVED,IMPL_COMP_YR,PERMIT_NUM,COUNCIL_DISTRICT,DPWT_MAIN_DIST,FORMEMAILED,FISCALYEAR,CREATIONDATE 1,CREATIONDATE_TIME,CREATIONDATE_AM/PM,LATITUDE,LONGITUDE,LOCATION
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,,FY2018,04/03/2018,01:32:00,PM,-76.85196302,38.89206293,"(-76.85196302, 38.89206293)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,7,,7,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2017,05/23/2017,06:29:00,PM,-76.87084161,38.85420104,"(-76.87084161, 38.85420104)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Anacostia River,TRSH,,2019,11-DP-3314,3,1,,FY2019,06/26/2019,04:14:00,PM,-76.9118009,38.95321964,"(-76.9118009, 38.95321964)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2019,05/22/2019,07:59:00,PM,-76.85248057,38.88174801,"(-76.85248057, 38.88174801)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Patuxent River upper,TRSH,,2019,11-DP-3314,4,1,,FY2019,01/31/2019,08:19:00,PM,-76.76526637,39.01923289,"(-76.76526637, 39.01923289)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Oxon Creek,TRSH,,2018,11-DP-3314,7,2,NO,FY2018,02/13/2018,03:48:00,PM,-76.9127289,38.8619499,"(-76.9127289, 38.8619499)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,10,,10,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,08/14/2019,06:39:00,PM,-76.85095567,38.87403457,"(-76.85095567, 38.87403457)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,4,1,NO,FY2018,10/04/2017,02:10:00,PM,-76.85127534,38.97894812,"(-76.85127534, 38.97894812)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2017,11-DP-3314,2,1,NO,FY2018,07/09/2017,05:15:00,PM,-76.98631333,38.9593238,"(-76.98631333, 38.9593238)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Mattawoman Creek,TRSH,0,2018,11-DP-3314,9,3,NO,FY2018,02/22/2018,09:08:00,PM,-76.8548224,38.6976825,"(-76.8548224, 38.6976825)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,08/15/2019,08:44:00,PM,-76.80350004,38.87464077,"(-76.80350004, 38.87464077)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Western Branch,TRSH,,2019,11-DP-3314,9,2,,FY2019,01/27/2019,07:05:00,PM,-76.83835121,38.80598251,"(-76.83835121, 38.80598251)"
DPW&T,,EvictionPickup,,,Construction_debris,,,,0,,,0,Anacostia River,TRSH,,2017,11-DP-3314,3,1,NO,FY2018,10/23/2017,02:46:00,PM,-76.88239389,38.98355416,"(-76.88239389, 38.98355416)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,6,,6,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,08/13/2019,03:21:00,PM,-76.8567722,38.87354814,"(-76.8567722, 38.87354814)"
DPW&T,,Other,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2017,05/08/2017,02:44:00,PM,-76.87450769,38.84453843,"(-76.87450769, 38.84453843)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2019,01/10/2019,05:35:00,PM,-76.90109871,38.85535793,"(-76.90109871, 38.85535793)"
DOC,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/03/2019,03:39:00,PM,-76.92403793,38.84871296,"(-76.92403793, 38.84871296)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/21/2019,01:49:00,PM,-76.92629706,38.84667437,"(-76.92629706, 38.84667437)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Patuxent River middle,TRSH,,2018,11-DP-3314,9,3,,FY2018,05/06/2018,02:56:00,PM,-76.7572777,38.732719,"(-76.7572777, 38.732719)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Patuxent River upper,TRSH,,2019,11-DP-3314,4,1,,FY2019,03/29/2019,03:29:00,PM,-76.76352356,39.00830456,"(-76.76352356, 39.00830456)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,6,2,,FY2020,10/02/2019,01:06:00,PM,-76.88681953,38.85021504,"(-76.88681953, 38.85021504)"
DOC,,RoadsideLitterPickup,,,Bags_garbage,,Other,33,33,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2018,07/14/2017,03:19:00,PM,-76.79379895,38.84798953,"(-76.79379895, 38.84798953)"
DPW&T,,IllegalDumping,,,Bags_garbage,,2,,2,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,09/10/2019,02:27:00,PM,-76.89567863,38.84307028,"(-76.89567863, 38.84307028)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,NO,FY2018,11/13/2017,01:40:00,PM,-76.89068112,38.92651548,"(-76.89068112, 38.92651548)"
DPW&T,,IllegalDumping,,,Bags_garbage,,5,,5,,,0,Patuxent River upper,TRSH,,2017,11-DP-3314,4,1,NO,FY2017,02/22/2017,02:36:00,PM,-76.78640252,38.97240025,"(-76.78640252, 38.97240025)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2019,11-DP-3314,2,1,,FY2020,08/02/2019,01:52:00,PM,-76.98445403,38.99032221,"(-76.98445403, 38.99032221)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,paint bucket,4,,4,,,0,Mattawoman Creek,TRSH,,2018,11-DP-3314,9,3,,FY2018,05/07/2018,02:59:00,PM,-76.8486965,38.69741481,"(-76.8486965, 38.69741481)"
,,,,,Other,,,,,,,,,,,,,,,,,,,,,,
DPW&T,,BusStopTrashCan,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,NO,FY2018,10/13/2017,03:48:00,PM,-76.9021342,38.9409327,"(-76.9021342, 38.9409327)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,07/22/2019,02:16:00,PM,-76.87402732,38.84584763,"(-76.87402732, 38.84584763)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2016,11-DP-3314,8,1,NO,FY2017,11/07/2016,06:50:00,PM,-76.9025726,38.96175195,"(-76.9025726, 38.96175195)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,5,,5,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,,FY2018,04/26/2018,06:35:00,PM,-76.8636822,38.8895715,"(-76.8636822, 38.8895715)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Mattawoman Creek,TRSH,,2018,11-DP-3314,9,3,NO,FY2018,02/06/2018,06:57:00,PM,-76.9428806,38.665036,"(-76.9428806, 38.665036)"
DPW&T,,IllegalDumping,,,Construction_debris,,,,0,,,0,Patuxent River upper,TRSH,,2017,11-DP-3314,4,1,NO,FY2018,08/16/2017,01:38:00,PM,-76.79282751,38.98313285,"(-76.79282751, 38.98313285)"
,,,,,Furniture,,,,,,,,,,,,,,,,,,,,,,
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2017,11-DP-3314,5,2,NO,FY2018,08/10/2017,01:58:00,PM,-76.87914039,38.90770861,"(-76.87914039, 38.90770861)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Patuxent River upper,TRSH,,2018,11-DP-3314,4,1,NO,FY2018,03/08/2018,02:36:00,PM,-76.7854063,38.9873154,"(-76.7854063, 38.9873154)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,NO,FY2018,03/08/2018,04:36:00,PM,-76.76799626,38.81763704,"(-76.76799626, 38.81763704)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Anacostia River,TRSH,,2019,11-DP-3314,3,1,,FY2020,07/01/2019,03:14:00,PM,-76.90399331,38.95126691,"(-76.90399331, 38.95126691)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,3,1,,FY2018,06/28/2018,02:07:00,PM,-76.8512074,38.97893788,"(-76.8512074, 38.97893788)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Anacostia River,TRSH,,2019,11-DP-3314,3,1,,FY2019,04/01/2019,04:22:00,PM,-76.86618932,38.97458048,"(-76.86618932, 38.97458048)"
DOC,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2019,05/23/2019,06:05:00,PM,-76.79793656,38.84995239,"(-76.79793656, 38.84995239)"
DPW&T,,IllegalDumping,,,Furniture,,,,0,,,0,Piscataway Creek,TRSH,,2018,11-DP-3314,9,2,,FY2019,09/25/2018,02:25:00,PM,-76.84119032,38.80223971,"(-76.84119032, 38.80223971)"
DPW&T,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2017,11-DP-3314,3,1,NO,FY2017,05/16/2017,01:17:00,PM,-76.9043187,38.9426274,"(-76.9043187, 38.9426274)"
DPW&T,,IllegalDumping,,,Illegal_signs,,5,,5,,,0,Anacostia River,TRSH,,2019,11-DP-3314,3,2,,FY2019,03/20/2019,01:09:00,PM,-76.88592565,38.94936646,"(-76.88592565, 38.94936646)"
,,,,,Bags_garbage,,,,,,,,,,,,,,,,,,,,,,
,,,,,Construction_debris,,,,,,,,,,,,,,,,,,,,,,
,,,,,Car_parts,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mattresses,,,,,,,,,,,,,,,,,,,,,,
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2020,09/05/2019,02:23:00,PM,-77.00423798,38.72516308,"(-77.00423798, 38.72516308)"
DOC,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2019,05/30/2019,05:41:00,PM,-76.8055879,38.87666686,"(-76.8055879, 38.87666686)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Potomac River U tidal,TRSH,,2018,11-DP-3314,8,2,NO,FY2018,03/13/2018,04:50:00,PM,-76.9578615,38.7757211,"(-76.9578615, 38.7757211)"
DPW&T,,Other,,,Bags_garbage,,8,,8,,,0,Piscataway Creek,TRSH,,2016,11-DP-3314,8,2,NO,FY2017,11/03/2016,01:48:00,PM,-76.86539231,38.7454463,"(-76.86539231, 38.7454463)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Potomac River U tidal,TRSH,,2018,11-DP-3314,8,2,NO,FY2018,03/12/2018,05:38:00,PM,-77.02504987,38.76592848,"(-77.02504987, 38.76592848)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Anacostia River,TRSH,,2018,11-DP-3314,5,2,,FY2019,08/21/2018,03:44:00,PM,-76.88667761,38.92479959,"(-76.88667761, 38.92479959)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Mattawoman Creek,TRSH,0,2018,11-DP-3314,9,3,NO,FY2018,02/22/2018,09:08:00,PM,-76.8548224,38.6976825,"(-76.8548224, 38.6976825)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Mattawoman Creek,TRSH,,2019,11-DP-3314,9,3,,FY2020,07/22/2019,01:27:00,PM,-76.86943143,38.69389079,"(-76.86943143, 38.69389079)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,6,,6,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,08/22/2019,06:47:00,PM,-76.85236194,38.881776,"(-76.85236194, 38.881776)"
CommunityBridge,,RoadsideLitterPickup,,,Tires,,,,0,5,,5,Potomac River U tidal,TRSH,,2018,11-DP-3314,7,2,NO,FY2018,02/22/2018,04:31:00,PM,-76.93806928,38.82010866,"(-76.93806928, 38.82010866)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2018,10/31/2017,02:36:00,PM,-76.8768854,38.89580969,"(-76.8768854, 38.89580969)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Western Branch,TRSH,,2019,11-DP-3314,4,2,,FY2020,07/24/2019,03:41:00,PM,-76.7651168,38.97056016,"(-76.7651168, 38.97056016)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Potomac River U tidal,TRSH,,2018,11-DP-3314,8,2,NO,FY2018,02/20/2018,07:06:00,PM,-77.02616237,38.72466753,"(-77.02616237, 38.72466753)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,7,2,,FY2020,08/05/2019,02:24:00,PM,-76.90608732,38.85373354,"(-76.90608732, 38.85373354)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2019,11-DP-3314,6,2,,FY2020,09/09/2019,05:45:00,PM,-76.880672,38.87801339,"(-76.880672, 38.87801339)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,4,2,NO,FY2018,08/02/2017,01:51:00,PM,-76.73235486,38.92303678,"(-76.73235486, 38.92303678)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,,FY2018,06/20/2018,05:36:00,PM,-76.8416082,38.90497761,"(-76.8416082, 38.90497761)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Mattawoman Creek,TRSH,,2018,11-DP-3314,9,3,NO,FY2018,02/22/2018,05:39:00,PM,-76.82937266,38.66099688,"(-76.82937266, 38.66099688)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,2,,2,,,0,Anacostia River,TRSH,,2019,11-DP-3314,1,1,,FY2020,08/08/2019,03:53:00,PM,-76.90330992,39.04225445,"(-76.90330992, 39.04225445)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2019,11-DP-3314,8,2,,FY2019,03/27/2019,05:31:00,PM,-76.99606247,38.75810097,"(-76.99606247, 38.75810097)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Anacostia River,TRSH,,2019,11-DP-3314,3,1,,FY2020,08/12/2019,05:15:00,PM,-76.93283488,38.98449604,"(-76.93283488, 38.98449604)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Patuxent River middle,TRSH,,2018,11-DP-3314,9,3,,FY2019,11/25/2018,02:39:00,PM,-76.74512342,38.74099433,"(-76.74512342, 38.74099433)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Anacostia River,TRSH,,2019,11-DP-3314,2,1,,FY2019,03/26/2019,06:58:00,PM,-76.98408066,38.96321351,"(-76.98408066, 38.96321351)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Potomac River U tidal,TRSH,,2018,11-DP-3314,9,3,NO,FY2018,01/28/2018,05:45:00,PM,-77.0324176,38.660826,"(-77.0324176, 38.660826)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,3,,3,,,0,Oxon Creek,TRSH,0,2018,11-DP-3314,7,2,NO,FY2018,02/19/2018,03:19:00,PM,-76.9692431,38.8229134,"(-76.9692431, 38.8229134)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2018,11-DP-3314,6,2,NO,FY2018,02/28/2018,07:19:00,PM,-76.85270883,38.86852446,"(-76.85270883, 38.86852446)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,8,,8,,,0,Oxon Creek,TRSH,,2019,11-DP-3314,7,2,,FY2019,01/25/2019,03:32:00,PM,-76.95643983,38.82895398,"(-76.95643983, 38.82895398)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Patuxent River upper,TRSH,,2019,11-DP-3314,1,1,,FY2019,04/16/2019,06:08:00,PM,-76.87335925,39.10396618,"(-76.87335925, 39.10396618)"
DPW&T,,BusStopTrashCan,,,Bags_garbage,,1,,1,,,0,Piscataway Creek,TRSH,,2019,11-DP-3314,8,2,,FY2020,07/24/2019,02:56:00,PM,-76.93746808,38.78886611,"(-76.93746808, 38.78886611)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,4,,4,,,0,Oxon Creek,TRSH,,2018,11-DP-3314,7,2,,FY2019,12/17/2018,02:45:00,PM,-76.96816577,38.82945012,"(-76.96816577, 38.82945012)"
CommunityBridge,,RoadsideLitterPickup,,,Bags_garbage,,1,,1,,,0,Western Branch,TRSH,,2017,11-DP-3314,6,2,NO,FY2018,12/13/2017,07:28:00,PM,-76.8542113,38.8574108,"(-76.8542113, 38.8574108)"
